name,price,in_stock,retailer,location,manufacturer
Bupple Frozen Waffles,6.35,2,walmart,Bupple
Dershey's Milk Chocolate Bar,2.18,64,real canadian superstore,Dershey's
Kerrogs Frozen Flakes,23.99,34,real canadian superstore,Kerrogs
Bee TS Butter Tub,8.99,12,costco wholesale,Bee TS
Pwingles Sour Cream and Onion Chips,6.18,546,walmart,Pwingles
Delicioso Frozen Pizza,13.55,34,real canadian superstore,Delicioso
Doofz Ketchup,9.00,45,costco wholesale,Doofz Evil Inc.
Cork 1.5 Litres,6.99,201,walmart,Rog N' Rola
Nomix Dozen Eggs,12.33,39,costco wholesale,Nomix Go!
Cool Lemon Iced Tea,4.60,0,real canadian superstore,ReFresh
Elmo's Energy Soda,5.00,1265,walmart,Orracle Inc.
Slugma Soda - Fire Flavor,4.99,2001,costco wholesale,Rashedi Ltd.
Diet Python Energy Soda,6.00,12,walmart,Thomp Corp
SQL MyEnergy Drink,5.99,42,real canadian superstore,Ferg Firm
Big Brain Juice,9.99,1299,costco wholesale,Taka-Shinobi Corp
Diet 7C Energy Drink,2.00,14,walmart,Sam-Stikklebak Industries